name,lat,lon
Politecnico di Torino – Sede Lingotto,45.0342752,7.667540899999999
Università di Torino - Dipartimento di Studi Politici,45.06510229999999,7.6899977
Università di Torino - Mineralogia Petrografia Geochimica,45.06362360000001,7.688744800000002
Università di Torino - Rettorato,45.06934410000001,7.689116199999999
Accademia Albertina,45.0675807,7.6897297
Segreteria Studenti MFN,45.065677300000004,7.6888859
Dipartimento di Scienze della Vita e Biologia dei Sistemi,45.0652865,7.6882857
Dipartimento di Scienze della Vita e Biologia dei Sistemi,45.0550943,7.687010700000001
Aule del dipartimento di psicologia,45.07144629999999,7.693277400000001
Accademia di medicina,45.068419,7.689522299999999
Ufficio logistica - Università degli Studi di Torino,45.0697357,7.687958200000001
S3+Lab,45.0531377,7.686376900000001
ECDL GIS TEST CENTER,45.0532475,7.6863527
Laboratorio di Analisi e Rappresentazioni Territoriali e Urbane,45.053434700000004,7.6865575
"Dipartimento Interateneo di Scienze, Progetto e Politiche del Territorio",45.05393070000001,7.6862746
Sala di Studio Verdi,45.0671868,7.695416600000001
Università di Torino - Incubatore d'impresa,45.01742819999999,7.6167035
Università di Torino - Scienze MFN e Farmacia,45.016824299999996,7.615708599999999
Dipartimento di Architettura e Design (DAD),45.0543756,7.686628300000001
Infopoint Unito,45.0681729,7.690474899999999
Residenza Universitaria EDISU Stemmi,45.067547799999986,7.691646600000003
DIST - Classe Giovanni Astengo,45.053683899999996,7.685381300000001
Segreteria Studenti,45.053874499999985,7.6857546
Politecnico di Torino - Castello del Valentino,45.05422009999999,7.685345999999999
Sala Studio Valentino,45.0535648,7.6851449
Sala Carlo Mollino,45.053841799999994,7.6859033
Aule Torino Esposizioni,45.04941769999999,7.681701399999999
IED Istituto Europeo di Design,45.06747169999999,7.6688061
SDG11Lab,45.0533885,7.686476000000001
Istituto Plana,45.0639637,7.691962000000001
Facoltà di Architettura,45.0542317,7.6854019000000005
Dental School,45.0345928,7.666615000000001
Scuola di studi superiori Ferdinando Rossi,45.071017399999995,7.6973136
S.S.O.I. - Scuola Superiore di Osteopatia Italiana,45.07668969999999,7.6555623
Aula 29B,45.0628498,7.6598774
Campus Luigi Einaudi,45.07355191267099,7.699616905530107
Politecnico di Torino,45.06368284762096,7.659187964366836
Istituto Rosmini,45.04910444647289,7.6727633147557475
Scuola di Management ed Economia,45.03768463894266,7.650346221948441
Politecnico di Torino – Sede Alenia,45.07474426995862,7.610972535636717
"Palazzo Campana, Dipartimento di Matematica ""Giuseppe Peano""",45.06793719754495,7.68560974891801
Istituto Universitario Salesiano Torino Rebaudengo,45.104765870617086,7.696785497462886
Università degli Studi di Torino,45.07334671453249,7.699379908286302
IAAD,45.07972627907687,7.6906537417249305
Università degli Studi di Torino,45.06821137129974,7.694848397252554
Politecnico di Torino - sede Castello del Valentino,45.0538775707475,7.686013535866235
SAA - Scuola di Amministrazione Aziendale,45.02716054676887,7.67112124876333
Università di Torino - Dipartimento di Scienze della Terra,45.052874470091545,7.682119584138339
Cittadella del Design e della mobilità sostenibile,45.030177563277476,7.6188277617870135
Centro di Biotecnologie e Medicina Traslazionale,45.05239264156904,7.673319558773516
Università di Torino - Istituto di Fisiologia,45.05030859797762,7.680602245927669
Università di Torino - Dipartimento di Chimica,45.051218325513624,7.681187435470873
Università di Torino - Dipartimento di Fisica,45.05203626408833,7.681785496914197
Complesso Aldo Moro,45.067372056973,7.694172998589747
